,0
0,10003_left
1,10003_right
2,10007_left
3,10007_right
4,10009_left
5,10009_right
6,1000_left
7,1000_right
8,10010_left
9,10010_right
10,10013_left
11,10013_right
12,10014_left
13,10014_right
14,10015_left
15,10015_right
16,10017_left
17,10017_right
18,10022_left
19,10022_right
20,10028_left
21,10028_right
22,10029_left
23,10029_right
24,1002_left
25,1002_right
26,10030_left
27,10030_right
28,10031_left
29,10031_right
30,10032_left
31,10032_right
32,10035_left
33,10035_right
34,10042_left
35,10042_right
36,10043_left
37,10043_right
38,10046_left
39,10046_right
40,10047_left
41,10047_right
42,10048_left
43,10048_right
44,10050_left
45,10050_right
46,10053_left
47,10053_right
48,10058_left
49,10058_right
50,10059_left
51,10059_right
52,10061_left
53,10061_right
54,10065_left
55,10065_right
56,10069_left
57,10069_right
58,10073_left
59,10073_right
60,10078_left
61,10078_right
62,10081_left
63,10081_right
64,10085_left
65,10085_right
66,1008_left
67,1008_right
68,10092_left
69,10092_right
70,10094_left
71,10094_right
72,10095_left
73,10095_right
74,10099_left
75,10099_right
76,100_left
77,100_right
78,10100_left
79,10100_right
80,10104_left
81,10104_right
82,10109_left
83,10109_right
84,10112_left
85,10112_right
86,10115_left
87,10115_right
88,10116_left
89,10116_right
90,1011_left
91,1011_right
92,10120_left
93,10120_right
94,10124_left
95,10124_right
96,10125_left
97,10125_right
98,10126_left
99,10126_right
100,10129_left
101,10129_right
102,1012_left
103,1012_right
104,10130_left
105,10130_right
106,10131_left
107,10131_right
108,10134_left
109,10134_right
110,10135_left
111,10135_right
112,10137_left
113,10137_right
114,10141_left
115,10141_right
116,10144_left
117,10144_right
118,10147_left
119,10147_right
120,10149_left
121,10149_right
122,10150_left
123,10150_right
124,10153_left
125,10153_right
126,10154_left
127,10154_right
128,10155_left
129,10155_right
130,10156_left
131,10156_right
132,10159_left
133,10159_right
134,10160_left
135,10160_right
136,10161_left
137,10161_right
138,10162_left
139,10162_right
140,10163_left
141,10163_right
142,10166_left
143,10166_right
144,10169_left
145,10169_right
146,10170_left
147,10170_right
148,10173_left
149,10173_right
150,10175_left
151,10175_right
152,10177_left
153,10177_right
154,1017_left
155,1017_right
156,10181_left
157,10181_right
158,10182_left
159,10182_right
